index,file,group,row,column,source_paths,viewbox_x,viewbox_y,viewbox_w,viewbox_h
57,01_marks/057_marks_r19_c03.svg,marks,19,3,3,145.176,1007.055,62.3477,62.3476
58,01_marks/058_marks_r20_c01.svg,marks,20,1,4,9.5234,1062.0675,71.0547,63.5039
59,01_marks/059_marks_r20_c02.svg,marks,20,2,4,80.8395,1062.0675,63.5,63.4961
60,01_marks/060_marks_r20_c03.svg,marks,20,3,4,144.6015,1061.955,63.4961,63.4961
61,02_lockups/061_lockups_r01_c01.svg,lockups,1,1,13,223.1213,5.9726,63.0,66.7148
62,02_lockups/062_lockups_r01_c02.svg,lockups,1,2,13,287.5312,6.1992,56.5039,66.2618
63,02_lockups/063_lockups_r01_c03.svg,lockups,1,3,13,345.867,6.0,56.832,66.6602
64,02_lockups/064_lockups_r02_c01.svg,lockups,2,1,14,222.5588,65.4727,64.125,67.8398
65,02_lockups/065_lockups_r02_c02.svg,lockups,2,2,14,286.965,65.6953,57.6368,67.3946
66,02_lockups/066_lockups_r02_c03.svg,lockups,2,3,14,345.297,65.4922,57.9727,67.8007
67,02_lockups/067_lockups_r03_c01.svg,lockups,3,1,13,223.1213,126.1012,63.0,66.7109
68,02_lockups/068_lockups_r03_c02.svg,lockups,3,2,13,287.1877,126.1012,57.3281,67.2578
69,02_lockups/069_lockups_r03_c03.svg,lockups,3,3,13,345.7815,126.1012,56.832,66.6562
70,02_lockups/070_lockups_r04_c01.svg,lockups,4,1,14,222.5588,185.6018,64.125,67.8398
71,02_lockups/071_lockups_r04_c02.svg,lockups,4,2,14,286.6252,185.3243,58.4531,68.3906
72,02_lockups/072_lockups_r04_c03.svg,lockups,4,3,14,345.2145,185.3243,57.9609,67.7891
73,02_lockups/073_lockups_r05_c01.svg,lockups,5,1,13,222.9998,246.2265,63.2422,66.9727
74,02_lockups/074_lockups_r05_c02.svg,lockups,5,2,13,287.1877,246.2265,57.3281,67.2578
75,02_lockups/075_lockups_r05_c03.svg,lockups,5,3,13,345.7815,246.2265,56.832,66.6602
76,02_lockups/076_lockups_r06_c01.svg,lockups,6,1,14,222.426,305.9768,64.3868,68.1211
77,02_lockups/077_lockups_r06_c02.svg,lockups,6,2,14,286.6133,305.8358,58.4766,68.4023
78,02_lockups/078_lockups_r06_c03.svg,lockups,6,3,14,345.207,305.8358,57.9805,67.8046
79,02_lockups/079_lockups_r07_c01.svg,lockups,7,1,13,222.8947,366.8752,63.2422,66.9727
80,02_lockups/080_lockups_r07_c02.svg,lockups,7,2,13,287.1877,366.8752,57.3281,67.2578
81,02_lockups/081_lockups_r07_c03.svg,lockups,7,3,13,345.7815,366.8752,56.832,66.6562
82,02_lockups/082_lockups_r08_c01.svg,lockups,8,1,14,222.3203,426.6248,64.3867,68.1172
83,02_lockups/083_lockups_r08_c02.svg,lockups,8,2,14,286.6133,426.4808,58.4766,68.4062
84,02_lockups/084_lockups_r08_c03.svg,lockups,8,3,14,345.207,426.4808,57.9805,67.8046
85,02_lockups/085_lockups_r09_c01.svg,lockups,9,1,13,222.8947,487.5195,63.2422,66.9727
86,02_lockups/086_lockups_r09_c02.svg,lockups,9,2,13,287.1877,487.5195,57.3281,67.2617
87,02_lockups/087_lockups_r09_c03.svg,lockups,9,3,13,345.7815,487.5195,56.832,66.6602
88,02_lockups/088_lockups_r10_c01.svg,lockups,10,1,14,222.426,547.2698,64.3868,68.1211
89,02_lockups/089_lockups_r10_c02.svg,lockups,10,2,14,286.6133,547.1288,58.4766,68.4023
90,02_lockups/090_lockups_r10_c03.svg,lockups,10,3,14,345.207,547.1288,57.9805,67.8047
91,02_lockups/091_lockups_r11_c01.svg,lockups,11,1,13,222.8903,608.1683,63.2383,66.9727
92,02_lockups/092_lockups_r11_c02.svg,lockups,11,2,13,287.1877,608.1683,57.3281,67.2578
93,02_lockups/093_lockups_r11_c03.svg,lockups,11,3,13,345.7815,608.1683,56.832,66.6562
94,02_lockups/094_lockups_r12_c01.svg,lockups,12,1,14,222.3165,667.9178,64.3868,68.1172
95,02_lockups/095_lockups_r12_c02.svg,lockups,12,2,14,286.6133,667.3868,58.4766,68.4023
96,02_lockups/096_lockups_r12_c03.svg,lockups,12,3,14,345.207,667.3868,57.9805,67.8047
97,02_lockups/097_lockups_r13_c01.svg,lockups,13,1,13,222.8903,728.8163,63.2383,66.9688
98,02_lockups/098_lockups_r13_c02.svg,lockups,13,2,13,287.1877,728.8163,57.3281,67.2578
99,02_lockups/099_lockups_r13_c03.svg,lockups,13,3,13,345.7815,728.8163,56.832,66.6562
100,02_lockups/100_lockups_r14_c01.svg,lockups,14,1,14,222.3165,788.565,64.3868,68.1172
101,02_lockups/101_lockups_r14_c02.svg,lockups,14,2,14,286.6133,788.0325,58.4766,68.4062
102,02_lockups/102_lockups_r14_c03.svg,lockups,14,3,14,345.207,788.0325,57.9805,67.8047
103,02_lockups/103_lockups_r15_c01.svg,lockups,15,1,13,222.8903,849.4575,63.2383,66.9727
104,02_lockups/104_lockups_r15_c02.svg,lockups,15,2,13,287.1877,849.4575,57.3281,67.2617
105,02_lockups/105_lockups_r15_c03.svg,lockups,15,3,13,345.7815,849.4575,56.832,66.6602
106,02_lockups/106_lockups_r16_c01.svg,lockups,16,1,14,222.3165,909.21,64.3868,68.1172
107,02_lockups/107_lockups_r16_c02.svg,lockups,16,2,14,286.6133,908.6775,58.4766,68.4062
108,02_lockups/108_lockups_r16_c03.svg,lockups,16,3,14,345.207,908.6775,57.9805,67.8047
109,02_lockups/109_lockups_r17_c01.svg,lockups,17,1,13,222.777,970.11,63.2383,66.9688
110,02_lockups/110_lockups_r17_c02.svg,lockups,17,2,13,287.1877,970.11,57.3281,67.2578
111,02_lockups/111_lockups_r17_c03.svg,lockups,17,3,13,345.7815,970.11,56.832,66.6563
112,02_lockups/112_lockups_r18_c01.svg,lockups,18,1,14,222.2033,1029.8625,64.3868,68.1172
113,02_lockups/113_lockups_r18_c02.svg,lockups,18,2,14,286.6133,1029.3225,58.4766,68.4062
114,02_lockups/114_lockups_r18_c03.svg,lockups,18,3,14,345.207,1029.3225,57.9805,67.8047
115,02_lockups/115_lockups_r19_c01.svg,lockups,19,1,13,222.777,1090.755,63.2383,66.9727
116,02_lockups/116_lockups_r19_c02.svg,lockups,19,2,13,287.1877,1090.755,57.3281,67.2617
117,02_lockups/117_lockups_r19_c03.svg,lockups,19,3,13,345.7815,1090.755,56.832,66.6601
118,02_lockups/118_lockups_r20_c01.svg,lockups,20,1,14,222.2033,1150.5075,64.3868,68.1211
119,02_lockups/119_lockups_r20_c02.svg,lockups,20,2,14,286.6133,1149.975,58.4766,68.4062
120,02_lockups/120_lockups_r20_c03.svg,lockups,20,3,14,345.207,1149.975,57.9805,67.8047
121,03_vertical/121_vertical_r01_c01.svg,vertical,1,1,2,426.738,11.1407,46.1647,46.1679
122,03_vertical/122_vertical_r01_c02.svg,vertical,1,2,2,491.6175,11.3555,46.16,46.1641
123,03_vertical/123_vertical_r02_c01.svg,vertical,2,1,3,418.2968,5.9726,63.0469,95.8162
124,03_vertical/124_vertical_r02_c02.svg,vertical,2,2,13,483.1755,6.1992,63.0469,106.0898
125,03_vertical/125_vertical_r03_c01.svg,vertical,3,1,6,417.7268,94.668,64.1875,96.957
126,03_vertical/126_vertical_r03_c02.svg,vertical,3,2,16,482.6018,105.0623,64.1875,107.2267
127,03_vertical/127_vertical_r04_c01.svg,vertical,4,1,5,418.2968,184.5037,63.0469,95.8125
128,03_vertical/128_vertical_r04_c02.svg,vertical,4,2,15,483.1755,205.0627,63.0469,106.0898
129,03_vertical/129_vertical_r05_c01.svg,vertical,5,1,6,417.7343,273.2033,64.1758,96.945
130,03_vertical/130_vertical_r05_c02.svg,vertical,5,2,16,482.6093,303.6442,64.1758,107.2148
131,03_vertical/131_vertical_r06_c01.svg,vertical,6,1,5,418.2968,363.0315,63.0469,95.8163
132,03_vertical/132_vertical_r06_c02.svg,vertical,6,2,15,483.1755,403.3515,63.0469,106.0898
133,03_vertical/133_vertical_r07_c01.svg,vertical,7,1,6,417.723,451.7228,64.1954,96.9607
134,03_vertical/134_vertical_r07_c02.svg,vertical,7,2,16,482.6018,501.9645,64.1914,107.2343
135,03_vertical/135_vertical_r08_c01.svg,vertical,8,1,5,418.2968,541.5585,63.0469,95.8162
136,03_vertical/136_vertical_r08_c02.svg,vertical,8,2,15,483.1755,601.7228,63.0469,106.086
137,03_vertical/137_vertical_r09_c01.svg,vertical,9,1,6,417.723,630.2498,64.1954,96.9645
138,03_vertical/138_vertical_r09_c02.svg,vertical,9,2,16,482.6018,700.332,64.1914,107.2342
139,03_vertical/139_vertical_r10_c01.svg,vertical,10,1,2,426.738,725.2575,46.1647,46.1681
140,03_vertical/140_vertical_r10_c02.svg,vertical,10,2,2,491.6175,805.245,46.16,46.1651
141,03_vertical/141_vertical_r11_c01.svg,vertical,11,1,3,418.2968,720.09,63.0469,95.8162
142,03_vertical/142_vertical_r11_c02.svg,vertical,11,2,13,483.1755,800.0925,63.0469,106.086
143,03_vertical/143_vertical_r12_c01.svg,vertical,12,1,6,417.723,808.7775,64.1954,96.9607
144,03_vertical/144_vertical_r12_c02.svg,vertical,12,2,16,482.6018,898.7025,64.1914,107.2342
145,03_vertical/145_vertical_r13_c01.svg,vertical,13,1,5,418.1835,898.695,63.0469,95.8162
146,03_vertical/146_vertical_r13_c02.svg,vertical,13,2,15,483.1755,998.46,63.0469,106.0898
147,03_vertical/147_vertical_r14_c01.svg,vertical,14,1,6,417.6135,987.39,64.1914,96.9645
